Supplier;Code;Description;Quantity;Value;;;;;;;;;;;;;;;;;;;;;;
B4;B4030.1DG;B4 BATHTUB OVAL RESIN 175x90x50;1;968;;;;;;;;;;;;;;;;;;;;;;
B4;A5922.2;B4 ASHTRAY STONE;2;30;;;;;;;;;;;;;;;;;;;;;;
B4;B1016.2G;B4 SOAPDISH NATURAL STONE GREY;1;11;;;;;;;;;;;;;;;;;;;;;;
B29;A4277.2;B29 VASE WITH HOLES TERRACOTTA;1;14;;;;;;;;;;;;;;;;;;;;;;
B29;A3791BE;B29 TERRACOTA AROMA BURNER BEIGE;2;13;;;;;;;;;;;;;;;;;;;;;;
B29;A4267;B29 RECTANGULAR T-LIGHT TERRACOTTA;2;8;;;;;;;;;;;;;;;;;;;;;;
B221;A8052;B221 POT PALM ANTIQ PALM WOOD 0;4;377;;;;;;;;;;;;;;;;;;;;;;
B221;A8028;B221 BOWL COLOUR NATURAL PALM WOOD 0;1;189;;;;;;;;;;;;;;;;;;;;;;
B221;A8045;B221 PANEL MASK CARVING ANTIQ SUAR WOOD 0;2;135;;;;;;;;;;;;;;;;;;;;;;
B221;A8042;B221 POT PALM NATURAL PALM WOOD 0;1;94;;;;;;;;;;;;;;;;;;;;;;
B21;A4088;B21 SET6 PLATE+ DILLS CERAMIC GREY PYC;1;12;;;;;;;;;;;;;;;;;;;;;;
B208;A7873;B208 5 MODEL ITEM ;12;75;;;;;;;;;;;;;;;;;;;;;;
B208;A7871;B208 10 MODELS ITEMS  20x20x9;16;59;;;;;;;;;;;;;;;;;;;;;;
B208;A7877;B208 BOWL BIG 35x35x11;2;51;;;;;;;;;;;;;;;;;;;;;;
B208;A7879;B208 BOWL SMALL 20x20x9;1;14;;;;;;;;;;;;;;;;;;;;;;
B208;A7870;B208 BOWL SAMBAL 10x10x4;1;3;;;;;;;;;;;;;;;;;;;;;;
B206;C1716;B206 CHAIR 90x90x73;7;1933;;;;;;;;;;;;;;;;;;;;;;
B206;C1723N;B206 CHAIR TEAK 56x47x80;7;1067;;;;;;;;;;;;;;;;;;;;;;
B206;C1715;B206 CHAIR 62x47x73;6;1045;;;;;;;;;;;;;;;;;;;;;;
B206;C1711;B206 CHAIR POGONIA 45x40x89;6;968;;;;;;;;;;;;;;;;;;;;;;
B206;C1721;B206 CHAIR 46x42x112;4;409;;;;;;;;;;;;;;;;;;;;;;
B206;C1714;B206 CHAIR 63x47x76;2;403;;;;;;;;;;;;;;;;;;;;;;
B206;C1719;B206 CHAIR SEAGRASS 62x47x73;2;377;;;;;;;;;;;;;;;;;;;;;;
B206;T2452;B206 COFFEE TABLE 70x70x70;1;169;;;;;;;;;;;;;;;;;;;;;;
B206;T2454;B206 COFFEE TABLE 60x50x50;1;121;;;;;;;;;;;;;;;;;;;;;;
B206;C1720;B206 STOOL 36x36x45;2;92;;;;;;;;;;;;;;;;;;;;;;
B205;T2449;B205 DINING TABLE 120x120x78;2;1065;;;;;;;;;;;;;;;;;;;;;;
B205;C1730;B205 BARSTOOL 43x29x67;8;428;;;;;;;;;;;;;;;;;;;;;;
B204;G1309;B204 SET LIVING MARCHESA 133x92x82;3;2829;;;;;;;;;;;;;;;;;;;;;;
B204;A7864.2;B204 BOX LAUNDRY 40x55x55;1;39;;;;;;;;;;;;;;;;;;;;;;
B204;A7863.2;B204 BOX LAUNDRY 40x55x55;1;37;;;;;;;;;;;;;;;;;;;;;;
B202;C1699;B202 CHAIR 55x56x79;4;724;;;;;;;;;;;;;;;;;;;;;;
B185;A6904;B185 VASE BURNING 28x28x45;1;39;;;;;;;;;;;;;;;;;;;;;;
